785	-4577249.874	-1854434.308	4781689.926	4978.313752	1809.439041	5467.021346
790	-4552288.364	-1845358.773	4808951.492	5006.264519	1820.765314	5437.577427
795	-4527187.486	-1836226.748	4836065.423	5034.060941	1832.035416	5407.967678
800	-4501948.013	-1827038.513	4863030.894	5061.70218	1843.249007	5378.193018
805	-4476570.724	-1817794.353	4889847.08	5089.187401	1854.405745	5348.254375
810	-4451056.401	-1808494.551	4916513.166	5116.515775	1865.505294	5318.15268
815	-4425405.829	-1799139.396	4943028.337	5143.686476	1876.547318	5287.88887
820	-4399619.8	-1789729.175	4969391.786	5170.698686	1887.53148	5257.463886
825	-4373699.108	-1780264.178	4995602.709	5197.551591	1898.457451	5226.878675
830	-4347644.551	-1770744.698	5021660.307	5224.244381	1909.324899	5196.134188
835	-4321456.932	-1761171.027	5047563.787	5250.776252	1920.133495	5165.231382
840	-4295137.058	-1751543.461	5073312.359	5277.146406	1930.882914	5134.171216
845	-4268685.739	-1741862.297	5098905.238	5303.354049	1941.57283	5102.954657
850	-4242103.79	-1732127.833	5124341.646	5329.398393	1952.202921	5071.582675
855	-4215392.029	-1722340.368	5149620.808	5355.278656	1962.772867	5040.056245
860	-4188551.278	-1712500.205	5174741.953	5380.99406	1973.282348	5008.376344
865	-4161582.364	-1702607.646	5199704.317	5406.543833	1983.731049	4976.543957
870	-4134486.117	-1692662.996	5224507.14	5431.927208	1994.118653	4944.560072
875	-4107263.371	-1682666.562	5249149.667	5457.143424	2004.44485	4912.425679
880	-4079914.963	-1672618.65	5273631.147	5482.191725	2014.709328	4880.141776
885	-4052441.735	-1662519.572	5297950.837	5507.071359	2024.911778	4847.709363
890	-4024844.531	-1652369.637	5322107.995	5531.781582	2035.051893	4815.129444
895	-3997124.202	-1642169.157	5346101.887	5556.321652	2045.129369	4782.403028
900	-3969281.6	-1631918.448	5369931.783	5580.690835	2055.143904	4749.531127
905	-3941317.58	-1621617.824	5393596.958	5604.888402	2065.095195	4716.514758
910	-3913233.003	-1611267.602	5417096.692	5628.913626	2074.982946	4683.354943
915	-3885028.732	-1600868.101	5440430.27	5652.76579	2084.806858	4650.052706
920	-3856705.635	-1590419.64	5463596.983	5676.44418	2094.566637	4616.609077
925	-3828264.581	-1579922.542	5486596.127	5699.948086	2104.261992	4583.025088
930	-3799706.446	-1569377.128	5509427.002	5723.276805	2113.89263	4549.301776
935	-3771032.106	-1558783.724	5532088.914	5746.42964	2123.458264	4515.440182
940	-3742242.444	-1548142.654	5554581.175	5769.405897	2132.958608	4481.441352
945	-3713338.343	-1537454.247	5576903.1	5792.20489	2142.393377	4447.306333
950	-3684320.691	-1526718.83	5599054.013	5814.825937	2151.762289	4413.03618
955	-3655190.381	-1515936.734	5621033.239	5837.268361	2161.065063	4378.631947
960	-3625948.307	-1505108.29	5642840.111	5859.531493	2170.301422	4344.094696
965	-3596595.366	-1494233.831	5664473.966	5881.614666	2179.471089	4309.42549
970	-3567132.461	-1483313.691	5685934.147	5903.517222	2188.573791	4274.625398
975	-3537560.496	-1472348.205	5707220.003	5925.238505	2197.609256	4239.69549
980	-3507880.379	-1461337.711	5728330.888	5946.777869	2206.577214	4204.636842
985	-3478093.022	-1450282.546	5749266.159	5968.13467	2215.477398	4169.450531
990	-3448199.338	-1439183.05	5770025.182	5989.308272	2224.30954	4134.137642
995	-3418200.245	-1428039.565	5790607.326	6010.298043	2233.073379	4098.699258
1000	-3388096.665	-1416852.431	5811011.967	6031.103357	2241.768653	4063.136469
1005	-3357889.52	-1405621.993	5831238.486	6051.723594	2250.395101	4027.450368
1010	-3327579.738	-1394348.595	5851286.267	6072.15814	2258.952468	3991.642051
1015	-3297168.249	-1383032.584	5871154.704	6092.406387	2267.440496	3955.712617
1020	-3266655.986	-1371674.306	5890843.193	6112.467732	2275.858935	3919.66317
1025	-3236043.884	-1360274.111	5910351.138	6132.341578	2284.207531	3883.494814
